t,o,h,l,c,v,oi,series,data_source
2024-05-28 09:51:00,49308.0,49349.35,49275.0,49287.05,21555.0,1810620.0,I,
2024-05-28 09:54:00,49282.55,49296.85,49261.4,49273.4,23115.0,1815105.0,I,
2024-05-28 09:57:00,49273.35,49307.0,49225.95,49291.15,42150.0,1823100.0,I,
2024-05-28 10:00:00,49289.7,49392.45,49283.45,49300.0,41730.0,1823085.0,I,
2024-05-28 10:03:00,49297.45,49305.05,49247.85,49290.8,17490.0,1827585.0,I,
2024-05-28 10:06:00,49285.0,49293.55,49255.7,49275.0,20100.0,1829355.0,I,
2024-05-28 10:09:00,49268.7,49292.2,49255.3,49282.45,9000.0,1835370.0,I,
2024-05-28 10:12:00,49288.2,49325.0,49275.75,49312.7,10665.0,1838835.0,I,
2024-05-28 10:15:00,49315.0,49339.7,49298.75,49326.4,8715.0,1841865.0,I,
2024-05-28 10:18:00,49331.15,49370.5,49310.65,49366.35,13995.0,1843785.0,I,
2024-05-28 10:21:00,49366.35,49417.0,49354.8,49367.95,18345.0,1844745.0,I,
2024-05-28 10:24:00,49365.3,49418.4,49356.0,49377.55,17640.0,1844190.0,I,
2024-05-28 10:27:00,49377.8,49405.6,49371.2,49386.45,10470.0,1852320.0,I,
2024-05-28 10:30:00,49391.0,49395.0,49358.35,49393.05,7275.0,1855470.0,I,
2024-05-28 10:33:00,49393.0,49393.1,49315.25,49339.5,12795.0,1858080.0,I,
2024-05-28 10:36:00,49336.1,49380.0,49336.1,49355.15,4650.0,1862280.0,I,
2024-05-28 10:39:00,49367.85,49369.3,49330.0,49336.5,5070.0,1862475.0,I,
2024-05-28 10:42:00,49323.0,49343.0,49307.15,49333.65,7395.0,1863585.0,I,
2024-05-28 10:45:00,49325.95,49328.7,49291.0,49312.55,11175.0,1862940.0,I,
2024-05-28 10:48:00,49305.0,49337.75,49292.0,49335.9,5415.0,1863915.0,I,
2024-05-28 10:51:00,49335.7,49336.9,49311.65,49323.55,7170.0,1865805.0,I,
2024-05-28 10:54:00,49324.2,49375.9,49324.2,49343.7,10245.0,1866105.0,I,
2024-05-28 10:57:00,49352.1,49358.1,49326.95,49350.0,7140.0,1866825.0,I,
2024-05-28 11:00:00,49350.0,49363.8,49331.25,49334.4,3840.0,1866975.0,I,
2024-05-28 11:03:00,49340.0,49345.0,49315.0,49320.55,8865.0,1867230.0,I,
2024-05-28 11:06:00,49320.55,49338.0,49299.0,49336.65,10170.0,1871865.0,I,
2024-05-28 11:09:00,49332.45,49332.45,49278.15,49294.0,9585.0,1837830.0,I,
2024-05-28 11:12:00,49300.0,49321.0,49280.0,49319.8,7785.0,1837155.0,I,
2024-05-28 11:15:00,49319.5,49338.65,49309.8,49319.35,13815.0,1841025.0,I,
2024-05-28 11:18:00,49310.9,49327.4,49290.0,49305.0,6480.0,1847115.0,I,
2024-05-28 11:21:00,49305.0,49318.15,49285.0,49285.5,7365.0,1848645.0,I,
2024-05-28 11:24:00,49289.35,49295.1,49255.95,49294.65,12045.0,1852125.0,I,
2024-05-28 11:27:00,49294.65,49295.05,49218.0,49225.35,14865.0,1850805.0,I,
2024-05-28 11:30:00,49220.4,49240.0,49164.0,49210.0,25965.0,1850070.0,I,
2024-05-28 11:33:00,49209.8,49220.65,49188.35,49207.95,16995.0,1855290.0,I,
2024-05-28 11:36:00,49207.95,49250.75,49190.55,49211.25,13785.0,1854615.0,I,
2024-05-28 11:39:00,49211.2,49249.95,49200.0,49240.0,10950.0,1853760.0,I,
2024-05-28 11:42:00,49239.65,49280.0,49235.5,49263.45,14115.0,1851630.0,I,
2024-05-28 11:45:00,49261.5,49305.55,49258.55,49264.2,9510.0,1840005.0,I,
2024-05-28 11:48:00,49264.2,49278.15,49247.9,49252.3,6690.0,1837845.0,I,
2024-05-28 11:51:00,49252.3,49271.8,49238.8,49242.0,6225.0,1838085.0,I,
2024-05-28 11:54:00,49240.05,49253.25,49225.05,49228.15,16815.0,1839480.0,I,
2024-05-28 11:57:00,49224.0,49235.15,49214.65,49214.65,6795.0,1853475.0,I,
2024-05-28 12:00:00,49214.65,49267.4,49207.7,49251.3,19245.0,1846530.0,I,
2024-05-28 12:03:00,49257.25,49257.25,49210.1,49226.95,7455.0,1849185.0,I,
2024-05-28 12:06:00,49226.95,49258.85,49221.5,49251.6,5760.0,1849950.0,I,
2024-05-28 12:09:00,49245.4,49255.0,49235.0,49240.8,8820.0,1851315.0,I,
2024-05-28 12:12:00,49240.8,49240.8,49194.0,49194.2,11865.0,1854795.0,I,
2024-05-28 12:15:00,49194.2,49220.7,49181.0,49205.0,19755.0,1832310.0,I,
2024-05-28 12:18:00,49206.15,49208.0,49150.0,49170.0,48555.0,1826895.0,I,
2024-05-28 12:21:00,49166.95,49201.4,49149.95,49189.25,17010.0,1806060.0,I,
2024-05-28 12:24:00,49191.4,49231.3,49177.75,49224.8,7125.0,1805295.0,I,
2024-05-28 12:27:00,49222.75,49225.35,49175.0,49175.0,9990.0,1806390.0,I,
2024-05-28 12:30:00,49177.05,49191.65,49165.0,49185.65,8565.0,1812375.0,I,
2024-05-28 12:33:00,49180.0,49183.0,49126.25,49146.95,28545.0,1815570.0,I,
2024-05-28 12:36:00,49146.95,49150.0,49117.0,49120.25,10800.0,1809765.0,I,
2024-05-28 12:39:00,49120.0,49190.0,49106.3,49189.6,13890.0,1807080.0,I,
2024-05-28 12:42:00,49185.25,49199.9,49155.9,49168.85,11970.0,1807590.0,I,
2024-05-28 12:45:00,49169.9,49194.95,49164.0,49173.6,6390.0,1796925.0,I,
2024-05-28 12:48:00,49173.6,49190.55,49160.65,49180.05,4350.0,1785525.0,I,
2024-05-28 12:51:00,49184.8,49328.3,49184.8,49275.8,37380.0,1788705.0,I,
2024-05-28 12:54:00,49279.2,49376.45,49261.0,49332.9,24270.0,1786155.0,I,
2024-05-28 12:57:00,49337.8,49348.25,49289.9,49297.7,15270.0,1791765.0,I,
2024-05-28 13:00:00,49291.15,49311.9,49262.3,49283.05,12075.0,1789320.0,I,
2024-05-28 13:03:00,49283.3,49336.6,49283.3,49327.95,5160.0,1791150.0,I,
2024-05-28 13:06:00,49327.95,49348.95,49293.0,49293.0,8520.0,1792245.0,I,
2024-05-28 13:09:00,49296.3,49320.0,49276.7,49310.1,6735.0,1791420.0,I,
2024-05-28 13:12:00,49310.1,49332.35,49291.65,49332.35,5010.0,1789275.0,I,
2024-05-28 13:15:00,49332.35,49339.7,49306.45,49314.5,5070.0,1786680.0,I,
2024-05-28 13:18:00,49315.6,49358.0,49315.0,49358.0,6810.0,1788270.0,I,
2024-05-28 13:21:00,49349.05,49371.1,49304.15,49308.95,8655.0,1789530.0,I,
2024-05-28 13:24:00,49309.8,49331.45,49300.65,49303.0,7800.0,1789200.0,I,
