t,o,h,l,c,v,oi,series,data_source
2024-05-28 14:51:00,22948.55,22956.3,22946.6,22948.0,35450.0,10879975.0,I,
2024-05-28 14:54:00,22947.95,22968.25,22947.05,22956.1,32625.0,10888050.0,I,
2024-05-28 14:57:00,22957.4,22961.0,22935.0,22935.0,24175.0,10870875.0,I,
2024-05-28 15:00:00,22935.0,22950.0,22928.2,22942.0,49775.0,10831425.0,I,
2024-05-28 15:03:00,22942.0,22958.6,22940.85,22953.1,29450.0,10819375.0,I,
2024-05-28 15:06:00,22953.35,22955.35,22941.5,22943.0,45675.0,10829225.0,I,
2024-05-28 15:09:00,22943.0,22947.25,22936.05,22942.7,53300.0,10845650.0,I,
2024-05-28 15:12:00,22942.6,22947.2,22939.0,22946.6,48025.0,10853375.0,I,
2024-05-28 15:15:00,22946.65,22951.3,22941.75,22951.0,56825.0,10860075.0,I,
2024-05-28 15:18:00,22950.0,22950.0,22942.0,22942.0,41625.0,10873250.0,I,
2024-05-28 15:21:00,22943.15,22943.15,22924.0,22924.95,116200.0,10873250.0,I,
2024-05-28 15:24:00,22925.25,22932.0,22922.05,22928.0,59675.0,10885275.0,I,
2024-05-28 15:27:00,22928.5,22929.5,22924.3,22925.0,103275.0,10858150.0,I,
2024-05-29 09:15:00,22845.0,22874.0,22828.75,22830.05,258425.0,8652275.0,I,
2024-05-29 09:18:00,22835.9,22848.9,22826.0,22833.95,129750.0,8623750.0,I,
2024-05-29 09:21:00,22833.95,22840.5,22821.0,22830.05,107325.0,8617375.0,I,
2024-05-29 09:24:00,22830.7,22847.0,22830.7,22847.0,105550.0,8609125.0,I,
2024-05-29 09:27:00,22849.6,22853.3,22832.65,22837.9,124150.0,8617650.0,I,
2024-05-29 09:30:00,22836.45,22859.7,22834.0,22855.7,66250.0,8629525.0,I,
2024-05-29 09:33:00,22854.35,22861.55,22848.1,22856.65,91400.0,8640875.0,I,
2024-05-29 09:36:00,22854.6,22864.25,22842.95,22847.55,69900.0,8641350.0,I,
2024-05-29 09:39:00,22846.9,22854.35,22841.35,22844.0,48225.0,8659825.0,I,
2024-05-29 09:42:00,22844.0,22853.95,22840.7,22845.1,39325.0,8602325.0,I,
2024-05-29 09:45:00,22842.8,22851.1,22836.65,22838.3,41375.0,8600775.0,I,
2024-05-29 09:48:00,22832.0,22837.7,22815.0,22824.2,165650.0,8590550.0,I,
2024-05-29 09:51:00,22823.1,22830.4,22814.95,22820.15,68300.0,8612150.0,I,
