date,symbol,series,total_v
2025-04-02,BANKNIFTY,I,1158810.0
2025-04-02,NIFTY,I,4815300.0
2025-04-03,BANKNIFTY,I,1287030.0
2025-04-03,NIFTY,I,5138850.0
2025-04-04,BANKNIFTY,I,1704090.0
2025-04-04,NIFTY,I,8108850.0
2025-04-07,BANKNIFTY,I,3624570.0
2025-04-07,NIFTY,I,19669875.0
2025-04-08,BANKNIFTY,I,1833780.0
2025-04-08,NIFTY,I,11705175.0
2025-04-09,BANKNIFTY,I,1814310.0
2025-04-09,NIFTY,I,6796425.0
2025-04-11,BANKNIFTY,I,1563360.0
2025-04-11,NIFTY,I,9054375.0
2025-04-15,BANKNIFTY,I,1693920.0
2025-04-15,NIFTY,I,6692625.0
2025-04-16,BANKNIFTY,I,1465200.0
2025-04-16,NIFTY,I,5351175.0
2025-04-17,BANKNIFTY,I,1880430.0
2025-04-17,NIFTY,I,10156575.0
2025-04-21,BANKNIFTY,I,2109150.0
2025-04-21,NIFTY,I,5800650.0
2025-04-22,BANKNIFTY,I,1458720.0
2025-04-22,NIFTY,I,6539775.0
2025-04-23,BANKNIFTY,I,1370220.0
2025-04-23,NIFTY,I,7435350.0
2025-04-24,BANKNIFTY,II,1435770.0
2025-04-24,NIFTY,II,5723400.0
2025-04-25,BANKNIFTY,I,2683590.0
2025-04-25,NIFTY,I,12617250.0
2025-04-28,BANKNIFTY,I,1715370.0
2025-04-28,NIFTY,I,7818600.0
2025-04-29,BANKNIFTY,I,1635630.0
2025-04-29,NIFTY,I,5926800.0
2025-04-30,BANKNIFTY,I,1275030.0
2025-04-30,NIFTY,I,5205450.0
2025-05-02,BANKNIFTY,I,1956060.0
2025-05-02,NIFTY,I,11982600.0
2025-05-05,BANKNIFTY,I,1251960.0
2025-05-05,NIFTY,I,5715825.0
2025-05-06,BANKNIFTY,I,1364640.0
2025-05-06,NIFTY,I,4889475.0
2025-05-07,BANKNIFTY,I,1739550.0
2025-05-07,NIFTY,I,7485000.0
2025-05-08,BANKNIFTY,I,1563120.0
2025-05-08,NIFTY,I,8512425.0
2025-05-09,BANKNIFTY,I,1671630.0
2025-05-09,NIFTY,I,11312175.0
2025-05-12,BANKNIFTY,I,2272470.0
2025-05-12,NIFTY,I,11739525.0
2025-05-13,BANKNIFTY,I,1584000.0
2025-05-13,NIFTY,I,12257100.0
2025-05-14,BANKNIFTY,I,1227780.0
2025-05-14,NIFTY,I,6583500.0
2025-05-15,BANKNIFTY,I,1681410.0
2025-05-15,NIFTY,I,13966050.0
2025-05-16,BANKNIFTY,I,760500.0
2025-05-16,NIFTY,I,4664850.0
2025-05-19,BANKNIFTY,I,1082640.0
2025-05-19,NIFTY,I,3971175.0
2025-05-20,BANKNIFTY,I,1137660.0
2025-05-20,NIFTY,I,7239225.0
2025-05-21,BANKNIFTY,I,1408200.0
2025-05-21,NIFTY,I,7812600.0
2025-05-22,BANKNIFTY,I,1024380.0
2025-05-22,NIFTY,I,8538600.0
2025-05-23,BANKNIFTY,I,1253370.0
2025-05-23,NIFTY,I,7194000.0
2025-05-26,BANKNIFTY,I,1280460.0
2025-05-26,NIFTY,I,5650350.0
